"","state","cases","deaths","date","full","lat","long"
"237","AK","42.0","0.0",2020-07-08,"Alaska","64.0685","-152.2782"
"238","AK","194.0","0.0",2021-01-05,"Alaska","64.0685","-152.2782"
"239","AK","263.0","0.0",2021-01-22,"Alaska","64.0685","-152.2782"
"240","AK","460.0","0.0",2020-11-20,"Alaska","64.0685","-152.2782"
"241","AK","20.0","0.0",2020-06-02,"Alaska","64.0685","-152.2782"
"242","AK","2.0","0.0",2020-04-23,"Alaska","64.0685","-152.2782"
"243","AK","208.0","0.0",2020-10-05,"Alaska","64.0685","-152.2782"
"244","AK","4.0","0.0",2020-05-23,"Alaska","64.0685","-152.2782"
"245","AK","739.0","1.0",2020-11-14,"Alaska","64.0685","-152.2782"
"246","AK","158.0","0.0",2021-02-04,"Alaska","64.0685","-152.2782"
"247","AK","12.0","1.0",2020-03-29,"Alaska","64.0685","-152.2782"
"248","AK","14.0","0.0",2020-06-24,"Alaska","64.0685","-152.2782"
"249","AK","634.0","1.0",2020-11-17,"Alaska","64.0685","-152.2782"
"250","AK","2.0","0.0",2020-05-04,"Alaska","64.0685","-152.2782"
"251","AK","48.0","1.0",2020-07-04,"Alaska","64.0685","-152.2782"
"252","AK","622.0","3.0",2020-12-11,"Alaska","64.0685","-152.2782"
"253","AK","17.0","0.0",2020-03-25,"Alaska","64.0685","-152.2782"
"254","AK","511.0","1.0",2020-12-01,"Alaska","64.0685","-152.2782"
"255","AK","107.0","1.0",2020-07-28,"Alaska","64.0685","-152.2782"
"256","AK","2.0","0.0",2020-05-22,"Alaska","64.0685","-152.2782"
"257","AK","178.0","0.0",2020-12-20,"Alaska","64.0685","-152.2782"
"258","AK","2.0","0.0",2020-04-26,"Alaska","64.0685","-152.2782"
"259","AK","63.0","0.0",2020-09-09,"Alaska","64.0685","-152.2782"
"260","AK","89.0","1.0",2020-08-22,"Alaska","64.0685","-152.2782"
"261","AK","1.0","0.0",2020-05-05,"Alaska","64.0685","-152.2782"
"262","AK","21.0","0.0",2020-06-29,"Alaska","64.0685","-152.2782"
"263","AK","1.0","0.0",2020-03-13,"Alaska","64.0685","-152.2782"
"264","AK","40.0","0.0",2020-07-14,"Alaska","64.0685","-152.2782"
"265","AK","112.0","0.0",2020-07-31,"Alaska","64.0685","-152.2782"
"266","AK","1.0","0.0",2020-05-10,"Alaska","64.0685","-152.2782"
"267","AK","487.0","0.0",2020-12-18,"Alaska","64.0685","-152.2782"
